R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_att,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_LEG_att
Darko Stosic,Devin Clark,Kevin Sataki,2019,"Stockholm, Sweden",Blue,False,Light Heavyweight,3,1.0,0.0,0.0,9.5,7.166666666666668,12.166666666666664,9.0,37.16666666666666,16.333333333333332,11.666666666666664,10.166666666666666,44.66666666666666,22.5,0.3333333333333333,6.833333333333332,5.833333333333332,1.8333333333333333,0.0,61.0,35.5,0.5866666666666668,0.16666666666666666,4.833333333333333,2.1666666666666665,0.3933333333333333,119.33333333333331,87.66666666666669,2.0,3.0,13.166666666666664,11.666666666666664,15.833333333333336,13.333333333333336,33.5,15.5,4.666666666666667,3.5,33.666666666666664,14.5,0.3333333333333333,7.166666666666668
Joel Alvarez,Danilo Belluardo,Rebin Saber,2019,"Stockholm, Sweden",Red,False,Lightweight,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafael Dos Anjos,Kevin Lee,Dan Miragliotta,2019,"Rochester, New York, USA",Red,False,Welterweight,5,1.0,0.0,0.0,12.714285714285715,9.714285714285714,6.142857142857142,4.714285714285714,83.21428571428571,26.0,24.285714285714285,18.357142857142858,99.71428571428572,38.142857142857146,0.0,1.2142857142857142,1.2142857142857142,3.2142857142857144,0.07142857142857142,113.64285714285714,49.07142857142857,0.4500000000000001,0.7857142857142857,5.7142857142857135,2.5,0.455,140.42857142857142,72.85714285714286,5.0,4.0,11.5,7.928571428571429,4.428571428571429,3.1428571428571432,71.71428571428571,32.07142857142857,4.071428571428571,3.2142857142857144,62.214285714285715,24.92857142857143,0.14285714285714285,6.5
Antonio Carlos Junior,Ian Heinisch,Todd Ronald Anderson,2019,"Rochester, New York, USA",Blue,False,Middleweight,3,0.0,1.0,0.0,10.0,10.0,21.0,14.0,59.0,30.0,15.0,11.0,74.0,38.0,1.0,11.0,7.0,1.0,0.0,95.0,55.0,0.57,2.0,7.0,1.0,0.14,133.0,90.0,1.0,0.0,9.0,3.0,8.0,4.0,47.0,22.0,0.0,0.0,39.0,17.0,0.0,7.0
Megan Anderson,Felicia Spencer,Keith Peterson,2019,"Rochester, New York, USA",Blue,False,Women's Featherweight,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vicente Luque,Derrick Krantz,Dan Miragliotta,2019,"Rochester, New York, USA",Red,False,Welterweight,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charles Oliveira,Nik Lentz,Todd Ronald Anderson,2019,"Rochester, New York, USA",Red,False,Lightweight,3,0.0,2.0,0.0,13.181818181818182,10.590909090909092,13.227272727272727,8.863636363636363,62.04545454545455,25.54545454545455,11.954545454545455,9.5,66.13636363636364,26.863636363636363,0.09090909090909093,7.909090909090909,6.454545454545454,2.4545454545454546,0.045454545454545456,87.22727272727273,43.90909090909091,0.5259090909090909,1.0909090909090908,8.727272727272727,3.0,0.315,126.54545454545456,80.4090909090909,4.0,8.0,8.136363636363637,6.136363636363638,11.0,7.636363636363638,57.13636363636363,24.63636363636364,8.590909090909092,5.863636363636362,63.72727272727273,27.772727272727273,0.18181818181818185,4.863636363636363
Davi Ramos,Austin Hubbard,Keith Peterson,2019,"Rochester, New York, USA",Red,False,Lightweight,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aspen Ladd,Sijara Eubanks,Keith Peterson,2019,"Rochester, New York, USA",Red,False,Women's Bantamweight,3,0.0,2.0,0.0,18.0,11.0,4.0,3.0,172.0,52.5,18.0,10.5,168.0,47.5,0.5,8.0,7.5,2.0,0.0,194.0,66.0,0.335,0.0,4.0,2.5,0.625,221.5,88.5,2.0,0.0,9.0,5.5,3.5,3.5,117.5,33.5,1.5,1.5,109.5,31.0,0.0,4.0
Desmond Green,Charles Jourdain,Dan Miragliotta,2019,"Rochester, New York, USA",Red,False,Lightweight,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Roberts,Michel Pereira,Todd Ronald Anderson,2019,"Rochester, New York, USA",Blue,False,Welterweight,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Trizano,Grant Dawson,Keith Peterson,2019,"Rochester, New York, USA",Blue,False,Featherweight,3,0.0,1.0,0.0,5.0,2.0,12.0,5.0,75.0,28.0,41.0,24.0,115.0,48.0,0.0,8.0,7.0,5.0,0.0,128.0,57.0,0.44,1.0,11.0,6.0,0.54,166.0,86.0,1.0,0.0,15.0,9.0,10.0,8.0,62.0,30.0,13.0,11.0,67.0,37.0,0.0,3.0
Patrick Cummins,Ed Herman,Dan Miragliotta,2019,"Rochester, New York, USA",Blue,False,Light Heavyweight,3,3.0,0.0,0.0,9.666666666666666,7.952380952380952,10.952380952380953,7.857142857142858,36.142857142857146,13.142857142857142,12.571428571428573,8.714285714285714,46.57142857142857,18.904761904761905,0.14285714285714285,3.4285714285714284,2.8571428571428568,1.7142857142857142,0.2380952380952381,59.66666666666666,29.714285714285715,0.4952380952380954,0.7619047619047619,2.952380952380953,1.5238095238095235,0.47,88.38095238095238,56.23809523809525,3.0,11.0,7.3809523809523805,5.666666666666668,6.809523809523809,5.285714285714286,35.952380952380956,17.333333333333332,8.571428571428571,5.666666666666668,38.714285714285715,17.904761904761905,0.14285714285714285,5.238095238095238
Zak Cummings,Trevin Giles,Todd Ronald Anderson,2019,"Rochester, New York, USA",Red,False,Middleweight,3,0.0,2.0,0.0,7.0,6.0,2.5,2.5,62.0,38.0,18.5,15.0,74.5,48.0,0.5,1.5,1.5,3.0,0.0,83.0,55.5,0.69,0.0,2.5,2.5,0.5,93.0,65.5,2.0,0.0,5.5,3.5,0.0,0.0,47.0,10.0,1.5,1.5,39.5,5.5,0.0,3.5
Julio Arce,Julian Erosa,Keith Peterson,2019,"Rochester, New York, USA",Red,False,Featherweight,3,3.0,0.0,0.0,15.75,11.75,11.25,8.0,45.0,21.0,4.75,3.5,42.25,18.25,0.0,3.0,2.5,0.5,0.0,61.0,32.5,0.515,0.75,1.0,0.75,0.415,81.75,51.25,1.0,3.0,3.75,2.75,9.25,4.75,54.75,23.25,15.25,9.25,67.75,28.75,0.5,7.75
Rose Namajunas,Jessica Andrade,Marc Goddard,2019,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,True,Women's Strawweight,5,0.0,3.0,0.0,24.285714285714285,18.285714285714285,26.642857142857146,16.285714285714285,97.57142857142857,43.5,17.0,13.071428571428573,112.0,50.07142857142857,0.14285714285714285,4.928571428571429,4.5,2.4285714285714284,0.07142857142857142,141.21428571428572,72.85714285714286,0.5492857142857143,0.35714285714285715,4.0,2.357142857142857,0.5242857142857142,173.5,101.71428571428572,3.0,4.0,13.785714285714285,9.642857142857142,17.285714285714285,11.285714285714285,91.0,39.785714285714285,7.642857142857142,4.642857142857143,91.28571428571428,36.0,0.07142857142857142,10.857142857142858
Jared Cannonier,Anderson Silva,Herb Dean,2019,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,False,Middleweight,3,1.0,0.0,0.0,8.652173913043477,6.956521739130435,6.217391304347826,5.217391304347826,41.73913043478261,22.130434782608692,7.913043478260869,6.173913043478262,37.91304347826087,18.782608695652176,0.7826086956521741,9.304347826086957,7.782608695652174,0.13043478260869565,0.043478260869565216,55.8695652173913,33.52173913043478,0.6417391304347827,0.2608695652173913,0.17391304347826084,0.13043478260869565,0.13043478260869565,65.34782608695652,41.91304347826087,16.0,6.0,6.0,3.3043478260869565,5.434782608695652,3.0,51.91304347826087,17.26086956521739,11.434782608695652,6.7391304347826075,52.82608695652174,16.391304347826086,0.13043478260869565,9.956521739130435
Jose Aldo,Alexander Volkanovski,Marc Goddard,2019,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,False,Featherweight,3,0.0,6.0,0.0,11.833333333333336,8.833333333333334,14.833333333333336,10.5,68.5,36.5,36.16666666666666,25.0,93.0,51.16666666666666,0.6666666666666666,14.666666666666664,12.0,2.333333333333333,0.16666666666666666,119.5,72.0,0.5966666666666666,0.5,6.5,2.6666666666666665,0.4566666666666666,130.5,81.5,6.0,0.0,8.5,5.166666666666667,7.0,4.166666666666667,72.83333333333333,25.33333333333333,1.5,1.5,70.0,23.5,0.16666666666666666,2.833333333333333
Thiago Alves,Laureano Staropoli,Osiris Maia,2019,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,False,Welterweight,3,0.0,1.0,0.0,29.0,15.0,5.0,3.0,270.0,94.0,0.0,0.0,235.0,71.0,0.0,11.0,11.0,0.0,0.0,275.0,97.0,0.35,0.0,0.0,0.0,0.0,277.0,99.0,1.0,0.0,12.0,7.0,12.0,6.0,158.0,63.0,0.0,0.0,136.0,45.0,0.0,22.0
Irene Aldana,Bethe Correia,Eduardo Herdy,2019,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,False,Women's Bantamweight,3,2.0,0.0,0.0,15.875,10.125,11.875,8.375,100.25,42.0,0.625,0.375,82.375,29.75,0.0,14.5,10.875,0.25,0.25,112.75,50.75,0.46375,0.0,1.5,0.375,0.09375,134.75,70.625,3.0,4.0,14.0,10.625,14.375,10.0,92.625,31.125,4.5,4.125,91.0,29.25,0.25,6.5
Rogerio Nogueira,Ryan Spann,Herb Dean,2019,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,False,Light Heavyweight,3,0.0,1.0,0.0,8.0,8.0,6.0,5.0,68.0,23.0,23.0,18.0,88.0,38.0,0.0,1.0,0.0,5.0,1.0,97.0,46.0,0.47,1.0,0.0,0.0,0.0,101.0,50.0,1.0,0.0,6.0,6.0,3.0,2.0,35.0,14.0,21.0,14.0,51.0,22.0,0.0,2.0
Thiago Moises,Kurt Holobaugh,Marc Goddard,2019,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,False,Lightweight,3,3.0,0.0,0.0,11.333333333333336,9.0,9.666666666666666,7.666666666666668,105.33333333333331,40.66666666666666,8.0,6.333333333333332,101.33333333333331,38.333333333333336,0.3333333333333333,10.333333333333334,7.333333333333332,0.0,0.0,123.0,54.66666666666666,0.43333333333333335,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.2766666666666667,169.66666666666666,96.33333333333331,0.0,3.0,8.666666666666666,6.666666666666668,13.666666666666664,7.666666666666668,68.33333333333333,35.333333333333336,11.0,6.666666666666668,83.0,41.66666666666666,0.3333333333333333,1.3333333333333333
Warlley Alves,Sergio Moraes,Osiris Maia,2019,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,False,Welterweight,3,1.0,0.0,0.0,8.25,5.25,1.8333333333333333,0.9166666666666666,64.5,27.08333333333333,3.0,2.1666666666666665,58.75,23.0,0.08333333333333333,2.333333333333333,1.9166666666666667,1.6666666666666667,0.0,69.33333333333333,30.16666666666667,0.4625000000000001,0.4166666666666667,2.6666666666666665,1.0833333333333333,0.3625,76.66666666666667,36.91666666666666,4.0,4.0,12.666666666666664,7.583333333333332,1.5833333333333333,1.25,103.58333333333331,36.833333333333336,3.0,1.75,86.33333333333331,24.83333333333333,0.5,9.166666666666666
BJ Penn,Clay Guida,Herb Dean,2019,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,False,Lightweight,3,1.0,0.0,0.0,6.230769230769232,4.076923076923077,5.769230769230768,4.038461538461538,66.84615384615384,15.384615384615385,14.730769230769232,8.73076923076923,73.65384615384616,17.576923076923073,0.2307692307692308,7.461538461538463,6.5,1.9615384615384612,0.038461538461538464,87.34615384615385,28.153846153846153,0.3576923076923077,0.5384615384615384,6.653846153846153,2.4230769230769234,0.3426923076923077,119.03846153846152,55.30769230769231,4.0,12.0,5.961538461538463,4.115384615384615,6.884615384615384,4.538461538461538,72.34615384615384,20.615384615384613,3.9230769230769234,3.1538461538461537,74.11538461538461,21.846153846153847,0.19230769230769232,3.0769230769230766
Luana Carolina,Priscila Cachoeira,Fernando Portella,2019,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,False,Women's Flyweight,3,2.0,0.0,0.0,10.5,7.5,6.0,3.5,117.0,35.0,0.0,0.0,109.0,28.0,0.0,3.5,3.0,0.0,0.0,123.0,38.5,0.24,0.0,0.0,0.0,0.0,125.5,40.0,0.0,2.0,12.5,10.5,10.5,6.0,94.5,50.5,50.0,44.5,135.0,84.0,0.0,7.5
